#IC86events[1/year]	sigpSI[pb]	sigpSD[pb]	sig*v[cm^3/s]	mdm[GeV]	DM[Fermion|Scalar]
1.9600e-29 7.4420e-18 2.4382e-17 5.4066e-39 2.3130e+02 F
2.3859e-07 7.9429e-13 2.1339e-10 9.2596e-27 1.0557e+03 F
5.2738e-10 2.4104e-15 6.6958e-11 8.4478e-27 1.1060e+03 F
9.0280e-21 3.6380e-21 2.8416e-16 8.5018e-27 1.1024e+03 F
7.3788e-02 9.7131e-09 2.8711e-05 5.1775e-30 7.9638e+01 F
1.3007e-19 6.2590e-16 3.1451e-11 5.7578e-36 1.2617e+02 F
2.1640e-09 4.0723e-14 7.5362e-11 8.9402e-27 1.0748e+03 F
2.1631e-04 2.5379e-11 0.0000e+00 5.5875e-26 1.8805e+03 S
1.6139e+01 1.5736e-10 1.2927e-04 2.1727e-26 2.1348e+02 F
6.4197e-08 1.4361e-12 8.1015e-09 9.7352e-30 4.7845e+02 F
3.3811e-08 2.6475e-14 5.5703e-10 8.0450e-27 1.1336e+03 F
5.4905e-17 1.6464e-17 1.4879e-15 7.6115e-27 1.1657e+03 F
1.0847e+02 9.2857e-09 2.8152e-03 7.9305e-28 8.1404e+01 F
3.0106e-05 5.1707e-12 9.0652e-09 8.6711e-27 1.0915e+03 F
1.5699e+01 7.4020e-09 1.1438e-04 2.0837e-26 2.2511e+02 F
2.9826e-27 3.3160e-16 4.3697e-15 3.8312e-39 1.6150e+02 F
1.0293e+01 5.1614e-09 7.0559e-05 1.9030e-26 4.2266e+02 F
3.5144e+00 1.3753e-10 2.2369e-05 1.6509e-27 1.7680e+02 F
1.0261e+02 2.6088e-08 4.5476e-04 4.4094e-28 1.2242e+02 F
6.3968e-06 2.1295e-12 3.5975e-09 9.7677e-27 1.0280e+03 F
5.5088e-09 8.9205e-14 1.1368e-10 7.9525e-27 1.1401e+03 F
5.4893e-06 2.5444e-12 4.4401e-09 7.5699e-27 1.1693e+03 F
3.5362e-14 3.0395e-17 6.0845e-13 7.5516e-27 1.1703e+03 F
1.3886e+01 3.2588e-09 8.1588e-05 2.1572e-26 3.1834e+02 F
3.1296e+02 1.6668e-08 1.3779e-03 1.4204e-27 1.2621e+02 F
8.2682e-02 1.4016e-11 1.0468e-06 9.0676e-28 1.0046e+02 F
4.9771e+01 2.1368e-08 2.8112e-03 5.0698e-28 7.8987e+01 F
8.2908e-21 5.7827e-20 2.2075e-16 7.8013e-27 1.1513e+03 F
5.3273e-07 1.0401e-12 4.8474e-07 9.0023e-32 1.1277e+02 F
3.7217e-09 7.0286e-14 9.0433e-11 8.2399e-27 1.1198e+03 F
3.4853e-15 8.7007e-17 7.7768e-14 7.5590e-27 1.1698e+03 F
1.3070e+01 6.6027e-09 8.9379e-05 1.6077e-26 2.1578e+02 F
3.3715e+02 9.0619e-09 1.7411e-03 7.3356e-27 1.0799e+02 F
7.1405e-01 5.6337e-09 2.8921e-07 1.2688e-26 8.4831e+02 F
3.3117e-07 1.0322e-12 1.1603e-10 9.2426e-27 1.0566e+03 F
6.2773e-12 3.1183e-15 4.9304e-12 6.9666e-27 1.2189e+03 F
6.1317e+00 1.4263e-08 4.7324e-05 5.8104e-27 1.9257e+02 F
4.9019e+02 6.5905e-09 1.6044e-03 1.2501e-26 1.4661e+02 F
5.0763e-03 1.9449e-10 0.0000e+00 6.2004e-26 1.9391e+03 S
5.4572e-02 3.6709e-10 5.8308e-07 9.3269e-27 1.0597e+03 F
1.3898e-10 1.2660e-14 0.0000e+00 7.7817e-26 1.5744e+03 S
3.8419e-05 6.5769e-12 5.8183e-09 1.0488e-26 9.9196e+02 F
4.4465e+02 1.0821e-08 1.7910e-03 3.3269e-27 1.2489e+02 F
2.7429e-19 1.2254e-14 2.2465e-13 6.2300e-35 9.3872e+02 F
6.0934e-03 7.7317e-11 1.4777e-07 9.3041e-27 1.0675e+03 F
1.1471e+01 6.1474e-08 8.6135e-04 1.5628e-28 6.5665e+01 F
1.2333e-20 8.9958e-15 9.7381e-12 1.9117e-36 1.5866e+02 F
1.6601e+01 2.2672e-10 1.4696e-04 1.7541e-26 1.8986e+02 F
4.2737e+01 8.7759e-09 2.5316e-03 4.5684e-28 7.6803e+01 F
4.0363e-09 9.0244e-14 9.6920e-11 7.3009e-27 1.1904e+03 F
7.3421e-06 6.6162e-13 6.3312e-09 9.5697e-27 1.0382e+03 F
5.3599e+01 1.0651e-08 3.2053e-03 5.7841e-28 7.6345e+01 F
